order_id,distance_km,package_weight_kg,traffic_index,weather,time_of_day,driver_experience_years,vehicle_type,shipment_volume,delivery_time_min,cost_inr,distance_km_norm,package_weight_kg_norm,traffic_index_norm,driver_experience_years_norm,shipment_volume_norm
ORD1000,6.58,2.02,1,Clear,Afternoon,6.5,Truck,2,34.2,88.63,0.32553509208561476,0.07718894009216591,0.0,0.5338983050847457,0.16666666666666666
ORD1001,4.21,1.13,6,Rain,Evening,9.0,Bike,2,35.0,42.94,0.20756595321055252,0.04301075268817204,0.5555555555555556,0.7457627118644068,0.16666666666666666
ORD1002,3.91,3.14,4,Fog,Evening,2.2,Van,3,37.9,50.67,0.19263315082130414,0.12019969278033796,0.3333333333333333,0.1694915254237288,0.3333333333333333
ORD1003,3.91,8.52,4,Clear,Night,2.5,Bike,2,29.6,50.25,0.19263315082130414,0.32680491551459295,0.3333333333333333,0.19491525423728812,0.16666666666666666
ORD1004,12.41,0.83,6,Fog,Afternoon,10.7,Bike,1,53.8,60.97,0.6157292185166751,0.0314900153609831,0.5555555555555556,0.8898305084745762,0.0
ORD1005,7.81,3.41,7,Clear,Morning,9.0,Van,1,40.1,76.3,0.3867595818815331,0.13056835637480801,0.6666666666666666,0.7457627118644068,0.0
ORD1006,3.24,3.49,9,Clear,Night,10.9,Bike,2,30.3,31.45,0.1592832254853161,0.13364055299539174,0.8888888888888888,0.9067796610169492,0.16666666666666666
ORD1007,6.78,4.62,10,Clear,Night,9.2,Bike,2,37.7,54.79,0.335490293678447,0.17703533026113674,1.0,0.7627118644067796,0.16666666666666666
ORD1008,5.54,0.49,5,Clear,Morning,7.2,Bike,2,33.7,48.79,0.273768043802887,0.018433179723502304,0.4444444444444444,0.5932203389830508,0.16666666666666666
ORD1009,0.71,4.4,9,Clear,Night,7.9,Bike,5,34.5,31.7,0.03334992533598805,0.16858678955453152,0.8888888888888888,0.6525423728813559,0.6666666666666666
ORD1010,4.6,8.39,4,Clear,Afternoon,10.7,Van,1,17.5,62.06,0.22697859631657538,0.3218125960061444,0.3333333333333333,0.8898305084745762,0.0
ORD1011,5.82,0.69,10,Clear,Evening,7.0,Truck,3,48.3,91.08,0.2877053260328522,0.026113671274961597,1.0,0.5762711864406779,0.3333333333333333
ORD1012,11.68,0.95,2,Rain,Afternoon,7.7,Bike,6,65.5,65.86,0.5793927327028373,0.03609831029185868,0.1111111111111111,0.635593220338983,0.8333333333333334
ORD1013,3.94,2.565,3,Rain,Morning,2.0,Bike,2,36.4,56.2,0.19412643106022898,0.09811827956989248,0.2222222222222222,0.15254237288135591,0.16666666666666666
ORD1014,3.04,0.7,1,Clear,Morning,5.8,Bike,1,15.8,23.19,0.1493280238924838,0.026497695852534562,0.0,0.47457627118644063,0.0
ORD1015,5.06,6.74,6,Clear,Night,8.7,Bike,2,31.8,45.93,0.2498755599800896,0.2584485407066052,0.5555555555555556,0.7203389830508474,0.16666666666666666
ORD1016,2.9,2.37,6,Clear,Afternoon,3.4,Van,1,32.8,57.7,0.14235938277750124,0.09062980030721968,0.5555555555555556,0.27118644067796605,0.0
ORD1017,3.74,0.99,1,Clear,Afternoon,2.6,Van,1,21.8,50.27,0.18417122946739672,0.03763440860215054,0.0,0.20338983050847456,0.0
ORD1018,4.62,7.16,3,Clear,Morning,3.9,Bike,4,33.4,38.8,0.22797411647585863,0.2745775729646698,0.2222222222222222,0.31355932203389825,0.5
ORD1019,1.91,2.06,5,Clear,Afternoon,3.0,Bike,3,25.0,39.18,0.09308113489298157,0.07872503840245777,0.4444444444444444,0.23728813559322032,0.3333333333333333
ORD1020,8.08,2.53,3,Clear,Morning,2.7,Bike,2,34.3,58.54,0.4001991040318567,0.0967741935483871,0.2222222222222222,0.211864406779661,0.16666666666666666
ORD1021,1.62,1.56,10,Fog,Afternoon,5.2,Van,4,39.0,47.97,0.07864609258337482,0.05952380952380953,1.0,0.423728813559322,0.5
ORD1022,1.44,3.15,3,Clear,Afternoon,10.9,Truck,5,30.4,65.87,0.06968641114982578,0.12058371735791092,0.2222222222222222,0.9067796610169492,0.6666666666666666
ORD1023,5.37,2.565,10,Clear,Afternoon,6.15,Bike,1,37.2,43.4,0.2653061224489796,0.09811827956989248,1.0,0.5042372881355932,0.0
ORD1024,7.67,1.74,3,Clear,Morning,2.4,Bike,4,34.3,54.11,0.3797909407665505,0.0664362519201229,0.2222222222222222,0.18644067796610167,0.5
ORD1025,5.28,12.21,5,Clear,Night,1.1,Truck,2,51.4,96.38,0.26082628173220507,0.46850998463901694,0.4444444444444444,0.07627118644067797,0.16666666666666666
ORD1026,4.28,1.05,5,Clear,Afternoon,8.4,Truck,3,39.7,78.7,0.2110502737680438,0.03993855606758833,0.4444444444444444,0.6949152542372882,0.3333333333333333
ORD1027,3.71,3.74,4,Clear,Morning,4.7,Bike,1,22.7,31.69,0.1826779492284719,0.14324116743471585,0.3333333333333333,0.3813559322033898,0.0
ORD1028,3.26,1.38,1,Clear,Morning,9.9,Bike,2,13.9,32.03,0.1602787456445993,0.05261136712749616,0.0,0.8220338983050848,0.16666666666666666
ORD1029,9.29,5.2,5,Clear,Afternoon,8.0,Bike,1,41.9,69.69,0.4604280736684918,0.1993087557603687,0.4444444444444444,0.6610169491525423,0.0
ORD1030,5.86,0.49,10,Fog,Afternoon,9.6,Van,4,54.1,56.61,0.28969636635141865,0.018433179723502304,1.0,0.7966101694915254,0.5
ORD1031,3.47,12.25,5,Rain,Night,3.4,Bike,3,32.3,60.49,0.17073170731707318,0.4700460829493088,0.4444444444444444,0.27118644067796605,0.3333333333333333
ORD1032,2.72,2.12,4,Clear,Morning,8.4,Bike,3,30.0,25.42,0.13339970134395224,0.08102918586789556,0.3333333333333333,0.6949152542372882,0.3333333333333333
ORD1033,7.08,0.94,6,Clear,Morning,3.3,Van,1,35.8,64.85,0.3504230960676954,0.03571428571428571,0.5555555555555556,0.2627118644067796,0.0
ORD1034,9.15,0.27,10,Clear,Evening,11.3,Bike,2,48.5,53.55,0.4534594325535093,0.009984639016897083,1.0,0.940677966101695,0.16666666666666666
ORD1035,8.63,0.65,4,Clear,Morning,7.7,Van,2,40.7,71.32,0.42757590841214543,0.02457757296466974,0.3333333333333333,0.635593220338983,0.16666666666666666
ORD1036,2.35,2.57,7,Clear,Night,4.0,Bike,3,35.5,38.58,0.11498257839721254,0.09831029185867896,0.6666666666666666,0.3220338983050847,0.3333333333333333
ORD1037,4.87,1.44,7,Clear,Evening,3.4,Bike,4,33.1,30.74,0.24041811846689895,0.05491551459293395,0.6666666666666666,0.27118644067796605,0.5
ORD1038,3.21,6.18,2,Clear,Evening,2.5,Van,4,34.5,55.5,0.15778994524639123,0.2369431643625192,0.1111111111111111,0.19491525423728812,0.5
ORD1039,4.06,1.97,3,Clear,Evening,8.4,Bike,3,25.5,41.28,0.2000995520159283,0.07526881720430108,0.2222222222222222,0.6949152542372882,0.3333333333333333
ORD1040,8.03,1.0,1,Clear,Afternoon,2.8,Truck,1,34.3,95.69,0.39771030363364857,0.038018433179723504,0.0,0.22033898305084743,0.0
ORD1041,11.0,3.36,8,Fog,Afternoon,7.2,Van,3,64.9,87.12,0.5455450472872077,0.12864823348694318,0.7777777777777778,0.5932203389830508,0.3333333333333333
ORD1042,6.01,4.29,9,Fog,Morning,3.3,Bike,1,44.9,44.85,0.2971627675460428,0.1643625192012289,0.8888888888888888,0.2627118644067796,0.0
ORD1043,2.79,0.64,4,Rain,Evening,8.0,Van,3,29.0,47.32,0.1368840219014435,0.024193548387096774,0.3333333333333333,0.6610169491525423,0.3333333333333333
ORD1044,4.55,0.64,6,Clear,Night,9.8,Bike,4,33.2,43.73,0.22448979591836735,0.024193548387096774,0.5555555555555556,0.8135593220338984,0.5
ORD1045,12.31,0.13,9,Rain,Afternoon,9.4,Truck,2,71.64999999999999,103.85,0.6107516177202589,0.004608294930875577,0.8888888888888888,0.7796610169491526,0.16666666666666666
ORD1046,4.97,4.67,6,Clear,Night,9.2,Bike,4,37.1,42.39,0.24539571926331508,0.17895545314900155,0.5555555555555556,0.7627118644067796,0.5
ORD1047,3.72,3.82,9,Rain,Night,2.4,Van,2,47.2,47.28,0.1831757093081135,0.14631336405529954,0.8888888888888888,0.18644067796610167,0.16666666666666666
ORD1048,3.96,2.25,4,Clear,Afternoon,1.2,Bike,1,21.4,40.69,0.1951219512195122,0.08602150537634409,0.3333333333333333,0.0847457627118644,0.0
ORD1049,6.0,6.51,8,Rain,Afternoon,8.4,Bike,4,54.7,59.09,0.2966650074664012,0.24961597542242706,0.7777777777777778,0.6949152542372882,0.5
